Auteur,Degré,Clustering,Centralité Intermédiarité,Excentricité,Domaine_Dominant
X. Y. Huang,12.5,0.1379591836734693,1.2995269571547396e-06,4.0,Physique (Autre)
Carl Reis,6.0,0.0507246376811594,1.7597976693650708e-06,4.0,Maths (Autre)
K. Gollwitzer,7.5,0.0505747126436781,1.6805594214019948e-06,4.0,Machine Learning
R. Kumar,23.0,0.0241280458671763,0.0001536278141429,4.0,Informatique (Autre)
Tobias Lachenmaier,24.0,0.1035087719298245,6.3246561694541015e-06,4.0,Machine Learning
Alan Hickey,9.0,0.2079365079365079,8.19413628505572e-07,4.0,Informatique (Autre)
Yueyan Li,1.5,0.0666666666666666,2.494453497092764e-07,4.0,IA
Tao He,3.5,0.0329670329670329,5.382164999900851e-06,4.0,Vision par Ordinateur
Prajit Ramachandran,58.5,0.0869007006346062,2.1805439246236347e-05,4.0,Machine Learning
Larry Jin,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
K. Upshaw,2.0,0.0357142857142857,3.471644305363952e-08,4.0,Informatique (Autre)
Tianchi Zhang,24.5,0.1647380601725226,5.813915322505636e-06,4.0,Machine Learning
Huiting Zeng,2.0,0.0714285714285714,2.7717398154436523e-08,4.0,Économie
Marcello Maggioni,64.0,0.079626225490196,2.94807741738623e-05,4.0,Machine Learning
E. N. Clark,4.0,0.0083333333333333,3.544402602528862e-07,4.0,Informatique (Autre)
Chaya Nayak,6.5,0.1015384615384615,1.0457878261149745e-06,4.0,Machine Learning
Changli Tang,3.0,0.1666666666666666,7.241508281907727e-09,4.0,Physique (Autre)
D. Rozza,10.0,0.0448717948717948,2.167219690818456e-06,4.0,Informatique (Autre)
Quentin Feuillade--Montixi,3.5,0.1648351648351648,1.2778655218426138e-06,4.0,IA
Xinjian Li,61.0,0.0827430344734534,2.1110261513968e-05,4.0,Machine Learning
V. Gupta,12.5,0.066938775510204,6.064454737497727e-06,4.0,Machine Learning
Jessica Hamrick,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
William Wang,7.5,0.0850574712643678,1.0527091944823042e-05,4.0,Machine Learning
Ronghao Chen,1.0,0.0,7.56353912834129e-09,4.0,Maths (Autre)
Y. Fujimoto,4.0,0.0083333333333333,2.481508829532686e-07,4.0,Informatique (Autre)
Yanyu Ren,1.0,0.0,1.2559461310956976e-06,4.0,Machine Learning
Min Si,7.0,0.0873015873015873,3.896653652191162e-06,4.0,Machine Learning
Kyoungchul Kong,4.0,0.0666666666666666,8.051776489992335e-07,4.0,IA
Sahil Jain,5.0,0.1,4.30796262662625e-07,4.0,IA
Lorenzo Battistini,6.0,0.0398550724637681,4.230823549278284e-07,4.0,Vision par Ordinateur
F. J. Nicolas-Arnaldos,5.5,0.0692640692640692,4.799259158971836e-07,4.0,Vision par Ordinateur
Fortuna Samuele,24.5,0.1647380601725226,5.813915777252987e-06,4.0,Machine Learning
J. Hanson,17.0,0.025460930640913,1.0102669875777792e-05,4.0,Machine Learning
Cuong Tran,1.5,0.0666666666666666,2.468273407885136e-08,4.0,Machine Learning
J. Irwin,8.0,0.0604838709677419,1.4723384538228856e-06,4.0,Vision par Ordinateur
Weiren Wang,26.0,0.0830843913368185,4.965663265465992e-06,4.0,Machine Learning
T. -W. Chen,2.0,0.0357142857142857,2.970107743749395e-06,4.0,Maths (Autre)
Y. Frémat,1.0,0.0,9.88723627415311e-07,4.0,Vision par Ordinateur
Sanja Deur,58.0,0.0882221227048813,1.7322874555247836e-05,4.0,Machine Learning
Xinping Lei,3.0,0.1818181818181818,4.605946912761284e-08,4.0,Vision par Ordinateur
S. Kwang,9.0,0.0095238095238095,4.7979087867133785e-06,4.0,Machine Learning
Lingyue Fu,1.0,0.1666666666666666,0.0,4.0,Physique (Autre)
C. Robertson,8.0,0.0604838709677419,1.4723384538228856e-06,4.0,Vision par Ordinateur
Ethan Y. Chang,1.5,0.2,0.0,4.0,Physique (Autre)
A. More,10.0,0.0448717948717948,2.167219690818456e-06,4.0,Informatique (Autre)
Gabe Taubman,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
Constance Rockosi,3.0,0.0454545454545454,1.0730518624768592e-06,4.0,Machine Learning
G. Sadowski,2.0,0.0357142857142857,2.169422987208236e-05,4.0,Informatique (Autre)
Andrew Lee,65.5,0.0770963118949431,8.17374893813394e-05,4.0,Machine Learning
Denis Filimonov,18.5,0.090707145501666,6.287253654591041e-06,4.0,Machine Learning
Dmitri Denisov,10.5,0.0708478513356562,2.944553853012621e-05,4.0,Informatique (Autre)
Fei Xiao,24.0,0.1019736842105263,5.920577223150758e-06,4.0,Machine Learning
Shun Song,8.5,0.1283422459893048,6.578385409738985e-07,4.0,Vision par Ordinateur
G. Ruiz Ferreira,7.0,0.0529100529100529,1.5753297475384898e-06,4.0,Machine Learning
Lily Lavitas,2.0,0.1071428571428571,4.96970908869798e-10,4.0,Robotique
Siyang Qin,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
Michael Janssen,4.0,0.0166666666666666,5.118298759043682e-06,4.0,Machine Learning
Rohan Maheswari,6.5,0.1015384615384615,1.0457878261149745e-06,4.0,Machine Learning
Levent Bolelli,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
Shao Zhang,1.5,0.0,4.560210413728783e-07,4.0,Autre
Tianchi Cai,4.0,0.1,4.690167259013833e-07,4.0,Vision par Ordinateur
Haisheng Zhao,2.0,0.0,2.677378006410436e-06,4.0,Machine Learning
Tong He,59.5,0.0843527284331454,5.248669549473561e-05,4.0,Machine Learning
Dongze Hao,1.0,0.1666666666666666,0.0,4.0,Autre
Minghan Fu,1.5,0.0,4.095493579825417e-07,4.0,Vision par Ordinateur
Daphiny Pottmaier,24.5,0.1647380601725226,5.813914867758285e-06,4.0,Machine Learning
Rohan Shingre,1.5,0.0666666666666666,0.0,4.0,Physique (Autre)
Shashank Agnihotri,24.5,0.1647380601725226,5.813915322505636e-06,4.0,Machine Learning
Junyang Zhang,1.5,0.0666666666666666,1.154993545249283e-09,4.0,Machine Learning
R. Stroili,8.5,0.0249554367201426,7.620302312716376e-06,4.0,Informatique (Autre)
Jianguo Huang,3.0,0.0757575757575757,8.901601518118696e-07,4.0,Maths (Autre)
Wenxuan Li,1.5,0.1333333333333333,0.0,4.0,Réseaux de Neurones
Matthew Hayes,27.0,0.0794392523364486,2.797627530526369e-05,4.0,Machine Learning
Feryal Behbahani,63.0,0.0789540251691646,4.7808887757128105e-05,4.0,Machine Learning
Jon Shepard,6.5,0.1015384615384615,1.0457878261149745e-06,4.0,Machine Learning
Lennart Heim,56.5,0.0501081612586037,8.281562622869387e-05,4.0,Informatique (Autre)
N. Boettner,5.5,0.0779220779220779,2.0281892432194581e-07,4.0,Vision par Ordinateur
Sean Sun,61.0,0.0827430344734534,2.11102633329574e-05,4.0,Machine Learning
Yihua Gu,1.0,0.0,7.083320952006035e-08,4.0,Maths (Autre)
A. Puecher,10.0,0.0448717948717948,2.167219690818456e-06,4.0,Informatique (Autre)
Qingqing Wu,2.5,0.0666666666666666,6.745115570083726e-06,4.0,Machine Learning
Dmitry Kalashnikov,62.5,0.0799036144578313,6.573490827577189e-05,4.0,Machine Learning
M. Greco,15.0,0.0915254237288135,1.4715885299665388e-05,4.0,Vision par Ordinateur
Xuan-Phi Nguyen,1.0,0.1666666666666666,0.0,4.0,Informatique (Autre)
Stefani Karp,59.5,0.0852037017338581,3.2692525564925745e-05,4.0,Machine Learning
Nazar Bartosik,6.0,0.1123188405797101,6.719635052832018e-07,4.0,Autre
Xin Li,84.5,0.0573455305251698,0.0016816487768664,4.0,Machine Learning
Tian Hao,1.0,0.0,0.0,4.0,Autre
H. C. Shi,3.5,0.0329670329670329,2.5395960889795788e-08,4.0,Physique (Autre)
Nouha Dziri,181.5,0.0204160729552579,0.0006262069218792,4.0,Traitement du Langage
Yuyuan Zeng,3.5,0.0659340659340659,1.4745640442015429e-07,4.0,Maths (Autre)
A. Pisarski,4.5,0.0130718954248366,4.423724931257311e-06,4.0,Informatique (Autre)
Luis Felipe Piñeres Rico,6.0,0.0181159420289855,5.351573122425179e-07,4.0,Machine Learning
Zhehao Dong,1.5,0.0,1.0584814447156533e-07,4.0,Vision par Ordinateur
Yue Yu,21.0,0.0909351692484222,3.6671615816885605e-05,4.0,Vision par Ordinateur
Dave Goodell,18.5,0.090707145501666,6.287254109338392e-06,4.0,Machine Learning
Hunar Batra,28.5,0.1338301505977332,2.5528976038913243e-05,4.0,Machine Learning
Davide Basilico,24.0,0.1035087719298245,6.3246561694541015e-06,4.0,Machine Learning
Anut Sangka,24.0,0.1035087719298245,6.3246561694541015e-06,4.0,Machine Learning
Ranieri D. Baldi,6.5,0.0338461538461538,2.976129280796158e-06,4.0,Traitement du Langage
Minh Giang,64.0,0.079626225490196,2.94807741738623e-05,4.0,Machine Learning
Matias Geralnik,2.5,0.2222222222222222,0.0,4.0,Machine Learning
Yunfei Chen,3.0,0.0454545454545454,4.175556568952743e-06,4.0,Machine Learning
Brent Ware,1.0,0.0,2.7724349038749097e-08,4.0,IA
Charles-Phillipe Lajoie,6.0,0.0507246376811594,1.7597976693650708e-06,4.0,Maths (Autre)
Zhuoyuan Chen,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
B. Souza De Paula,19.5,0.0329670329670329,2.744021730904933e-05,4.0,Machine Learning
Jiabing Yang,2.0,0.0,3.004571453857352e-07,4.0,Vision par Ordinateur
Hansen He,2.0,0.2142857142857142,0.0,4.0,Informatique (Autre)
Samira Khan,58.0,0.0882221227048813,1.7322874555247836e-05,4.0,Machine Learning
Wenqing He,5.5,0.0562770562770562,4.029095919122483e-07,4.0,Maths (Autre)
Yunhan Yang,4.5,0.0784313725490196,8.813054250822461e-07,4.0,Autre
Xinhao Zhong,2.0,0.1785714285714285,8.256960448704831e-09,4.0,Machine Learning
Vilmos Kocsis,1.0,0.0,9.038215509349357e-09,4.0,Machine Learning
Qiang Zhu,7.0,0.0502645502645502,3.5716034290089738e-06,4.0,Machine Learning
Andrea Hu,26.0,0.0830843913368185,4.965663720213343e-06,4.0,Machine Learning
Sachin Chaudhary,4.0,0.05,3.615275545598706e-07,4.0,Maths (Autre)
Y. Inoue,17.0,0.0267778753292361,3.4920893085654825e-05,4.0,Informatique (Autre)
Jie Yan,5.0,0.0631578947368421,3.57310653953391e-07,4.0,Traitement du Langage
S. Hansmann-Menzemer,22.0,0.0297805642633228,3.707791984197684e-05,4.0,Machine Learning
Anh Dao,1.0,0.1666666666666666,0.0,4.0,Autre
P. P. Palma,7.5,0.0666666666666666,1.167314962913224e-06,4.0,Vision par Ordinateur
L. Ricca,6.5,0.0615384615384615,6.707098805236456e-07,4.0,Vision par Ordinateur
Jiayu Wang,4.0,0.0666666666666666,6.69903457151122e-08,4.0,Informatique (Autre)
Mukul Bhutani,58.0,0.0882221227048813,1.7322878193226643e-05,4.0,Machine Learning
Samuel S. Schoenholz,10.5,0.2020905923344947,3.520738687257108e-07,4.0,IA
Jessica Nicole Aguilar,3.5,0.0109890109890109,1.6064708461271948e-06,4.0,Traitement du Langage
Vlad Tiberiu Mihailescu,6.5,0.1015384615384615,1.0457879398018122e-06,4.0,Machine Learning
Danielle Goldfarb,53.0,0.2426450862916927,7.055651849441347e-07,4.0,Informatique (Autre)
Charlie Cheng-Jie Ji,1.5,0.2,0.0,4.0,Machine Learning
R. Miquel,9.0,0.0174603174603174,2.917888377851341e-05,4.0,Physique (Autre)
Steve Croft,1.0,0.0,2.239493142042193e-07,4.0,Physique (Autre)
Chuanping Shen,4.0,0.0916666666666666,7.441749971803802e-07,4.0,Machine Learning
Jeremy Greer,32.5,0.0883720930232558,7.3851088018273e-06,4.0,Machine Learning
Guangwei Ai,3.0,0.0757575757575757,5.475800080034787e-08,4.0,Machine Learning
F. Acernese,17.0,0.025460930640913,1.0102669875777792e-05,4.0,Machine Learning
Chi Xie,1.0,0.1666666666666666,0.0,4.0,Autre
J. Degallaix,17.0,0.025460930640913,1.0102669875777792e-05,4.0,Machine Learning
Weicheng Zhu,1.5,0.0666666666666666,0.0,4.0,Machine Learning
Zoltan Egyed,61.0,0.0827430344734534,2.1110259694978595e-05,4.0,Machine Learning
Yan Li,64.0,0.0842218137254902,0.0001034084052662,4.0,Machine Learning
A. Limphirat,13.5,0.1069182389937107,1.6396327282564016e-06,4.0,Vision par Ordinateur
Joanna M. Taylor,13.0,0.0497737556561085,5.963759576843586e-06,4.0,Informatique (Autre)
A. Perro,12.0,0.0425531914893617,3.808133214988629e-06,4.0,Machine Learning
Luyu Gao,4.5,0.0392156862745098,3.3122189506684663e-06,4.0,Physique (Autre)
Joannah Nanjekye,1.0,0.1666666666666666,0.0,4.0,Ingénierie (Signal)
Huawei Li,1.5,0.1333333333333333,0.0,4.0,Vision par Ordinateur
Chris Bartels,8.0,0.0846774193548387,1.7280141264564008e-06,4.0,Machine Learning
Gang Chen,9.5,0.0497866287339971,4.217300738673657e-05,4.0,Maths (Autre)
