Auteur,Degré,Clustering,Centralité Intermédiarité,Excentricité,Domaine_Dominant
Cta Consortium,0.5,0.0,0.0,5.0,Informatique (Autre)
Juntao Bai,0.5,0.0,0.0,5.0,Machine Learning
J. Hill,1.5,0.0,1.726410800984013e-07,5.0,Machine Learning
Dea Adhista,1.0,0.1666666666666666,0.0,5.0,IA
E. Salvioni,1.0,0.0,3.708816009861948e-08,5.0,Maths (Autre)
Rhodes Hart,0.5,0.0,0.0,5.0,Maths (Autre)
Minami Nakane,0.5,0.0,0.0,5.0,Informatique (Autre)
M. Gougerot,0.5,0.0,0.0,5.0,IA
D. E. M. Hoff,0.5,0.0,0.0,5.0,Autre
Geof Wingham,1.0,0.0,1.332470245252182e-09,5.0,Maths (Autre)
Teng Tan,0.5,0.0,0.0,5.0,Autre
G. Tautvaišienė,0.5,0.0,0.0,5.0,Vision par Ordinateur
Xiang Tao,1.0,0.0,0.0,5.0,Informatique (Autre)
Naveen Pathak,2.0,0.0714285714285714,5.256833333078248e-07,5.0,Vision par Ordinateur
Theophile Jegou du Laz,2.0,0.0714285714285714,1.0004422534848345e-07,5.0,Maths (Proba)
P. Bourgeois-Hope,0.5,0.0,0.0,5.0,Vision par Ordinateur
Keyur Muzumdar,1.5,0.2,0.0,5.0,IA
Dheeraj Nagaraj,0.5,0.0,0.0,5.0,Machine Learning
Chinedu Innocent Nwoye,4.5,0.0196078431372549,8.812356099952012e-06,5.0,IA
Dou-Dou Wang,0.5,0.0,0.0,5.0,Autre
Ryoichi Takesako,0.5,0.0,0.0,5.0,Informatique (Autre)
Feng Ye,0.5,0.0,0.0,5.0,Machine Learning
H. Nelson,0.5,0.0,0.0,5.0,Physique (Autre)
Roman Yavich,0.5,0.0,0.0,5.0,Machine Learning
E. Mizrachi,5.0,0.0263157894736842,1.4457026509262505e-06,5.0,Machine Learning
Thomas Iadecola,0.5,0.0,0.0,5.0,Informatique (Autre)
Thomas Ristenpart,1.5,0.0666666666666666,6.375485668286274e-07,5.0,Machine Learning
Houfei Yuan,0.5,0.0,0.0,5.0,Physique (Autre)
Ethan D. Karpel,1.5,0.0,1.4940383152861616e-07,5.0,Informatique (Autre)
K. Lohwasser,1.5,0.0,1.0031966439782991e-06,5.0,Stats & ML
A. Trifonov,0.5,0.0,0.0,5.0,Stats & ML
K. Lane,1.0,0.0,3.708816009861948e-08,5.0,Maths (Autre)
Olivier Malenfant-Thuot,0.5,0.0,0.0,5.0,Maths (Autre)
Hamed Damirchi,0.5,0.0,0.0,5.0,Vision par Ordinateur
Hannah Alsdurf,5.0,0.2,3.0286933849765774e-08,5.0,Machine Learning
Changti Wu,0.5,0.0,0.0,5.0,Maths (Proba)
R. Trudeau,2.0,0.0357142857142857,1.0581898024497605e-08,5.0,Machine Learning
Cassidy A. Blake,11.0,0.0317124735729386,3.060799826926086e-06,5.0,Machine Learning
Gavin Kader,0.5,0.0,0.0,5.0,Économie
Shuaiqi Gao,0.5,0.0,0.0,5.0,Autre
Helen Mason,0.5,0.0,0.0,5.0,Économie
B. Tome,3.5,0.0109890109890109,2.446559506097401e-07,5.0,Machine Learning
Z. Svozilikova,1.5,0.0,2.4081833416289555e-08,5.0,Informatique (Autre)
Fabian Schmidt,3.0,0.0151515151515151,1.9453044330930425e-07,5.0,Informatique (Autre)
Anish Amarsi,7.0,0.0185185185185185,4.843227543460671e-06,5.0,Vision par Ordinateur
Helena Vasconcelos,0.5,0.0,0.0,5.0,Informatique (Autre)
Chuan Sheng Foo,0.5,0.0,0.0,5.0,Machine Learning
Sanchit Gandhi,8.5,0.1675579322638146,2.088259634547285e-06,5.0,IA
Filip Lux,5.0,0.0210526315789473,8.244270247814711e-06,5.0,Machine Learning
Wonbin Lee,0.5,0.0,0.0,5.0,Vision par Ordinateur
Yujing Gao,0.5,0.0,0.0,5.0,Machine Learning
Marie Pisani,0.5,0.0,0.0,5.0,Autre
Ali Salamatian,0.5,0.0,0.0,5.0,Traitement du Langage
Nicholas LiCausi,0.5,0.0,0.0,5.0,Machine Learning
Josh Carter,0.5,0.0,0.0,5.0,Maths (Autre)
S. Di Guida,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Joshua A. Magee,0.5,0.0,0.0,5.0,Machine Learning
H. Takidera,2.0,0.0,1.4343290999363493e-08,5.0,Machine Learning
Samuel Watkins,1.5,0.0,2.8977754595871374e-07,5.0,Maths (Autre)
I. Ferrero,2.5,0.0444444444444444,1.159554130936158e-06,5.0,Physique (Autre)
Quoc Viet Nguyen Hung,0.5,0.0,0.0,5.0,Maths (Autre)
Matthew W. L. Smith,1.5,0.0,5.46627916264697e-07,5.0,Vision par Ordinateur
Sujay Garlanka,1.0,0.0,1.2994696874102374e-08,5.0,Statistiques (Autre)
R. Sahoo,1.5,0.0666666666666666,1.6305715888620398e-08,5.0,Machine Learning
Martha White,1.0,0.0,1.0562202668040754e-08,5.0,Machine Learning
Yuval Cohen,1.0,0.1666666666666666,0.0,5.0,Physique (Autre)
B. Ary dos Santos Garcia,0.5,0.0,0.0,5.0,Machine Learning
Michael R. Line,0.5,0.0,0.0,5.0,IA
J. Baxter,4.0,0.025,2.3568400138174184e-06,5.0,Vision par Ordinateur
Michael Kilgour,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Rebecca Centeno,1.0,0.0,0.0,5.0,Informatique (Autre)
J. C. Moreno,1.5,0.0,1.716296083031921e-07,5.0,Physique (Autre)
Hyemin Jung,0.5,0.0,0.0,5.0,Statistiques (Autre)
Abel Lawrence Peirson,0.5,0.0,0.0,5.0,Traitement du Langage
Siying Cheng,0.5,0.0,0.0,5.0,Physique (Autre)
En-Kun Li,0.5,0.0,0.0,5.0,Vision par Ordinateur
Tobias Geron,3.5,0.0549450549450549,2.8179059086141933e-07,5.0,Informatique (Autre)
Kensaku Nakamura,0.5,0.0,0.0,5.0,Informatique (Autre)
Sydney Scheller,1.5,0.0666666666666666,7.274100433107833e-09,5.0,IA
Lili Liu,0.5,0.0,0.0,5.0,Traitement du Langage
Eric Zelikman,4.0,0.15,7.695064141444163e-07,5.0,IA
A. Peisker,1.5,0.0,1.0010508049163036e-06,5.0,Vision par Ordinateur
Bernardo C A Teixeira,2.0,0.0,5.062033636704656e-08,5.0,Physique (Autre)
Nate B Lust,0.5,0.0,0.0,5.0,Informatique (Autre)
Bonita D. Salmerón,0.5,0.0,0.0,5.0,Traitement du Langage
Michael Gaebler,1.0,0.1666666666666666,0.0,5.0,IA
Jonathan Gagné,0.5,0.0,0.0,5.0,Machine Learning
Takehiro Fujita,0.5,0.0,0.0,5.0,Informatique (Autre)
C. Lessler,1.5,0.0,2.247965191770617e-08,5.0,Machine Learning
Giles Ruscoe,2.0,0.1785714285714285,2.7907603339372145e-07,5.0,IA
Sebastian Grimberg,1.0,0.0,1.1920563203204892e-08,5.0,Machine Learning
Juan M. Lora,1.5,0.0666666666666666,9.578164927859234e-09,5.0,Machine Learning
R. Pyzioł,1.0,0.0,6.174746403075916e-08,5.0,IA
A. S. Kozhin,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Etienne Camphuis,1.5,0.0,7.387855305296398e-08,5.0,Autre
Frank Pereira Dos Santos,0.5,0.0,0.0,5.0,Machine Learning
Mostafa Farrokhabadi,0.5,0.0,0.0,5.0,Informatique (Autre)
R. Venditti,2.5,0.0,1.13564988168946e-06,5.0,Maths (Autre)
Zhen Han,3.0,0.0606060606060606,1.3868577752873534e-07,5.0,IA
Tatjana Šuša,2.0,0.0357142857142857,1.1367943386630941e-07,5.0,IA
Manwei Chan,1.0,0.0,3.396527006316319e-07,5.0,Machine Learning
Andrea Dotti,0.5,0.0,0.0,5.0,Traitement du Langage
Doug Clowe,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Alessio Brutti,0.5,0.0,0.0,5.0,Ingénierie (Signal)
Wenliang Zheng,0.5,0.0,0.0,5.0,Vision par Ordinateur
Marcelo Ortega,2.0,0.0357142857142857,1.1132948429803949e-07,5.0,Traitement du Langage
Amos Matthew Smith,0.5,0.0,0.0,5.0,Machine Learning
Daniel Slate,0.5,0.0,0.0,5.0,Machine Learning
Dayane Reis,0.5,0.0,0.0,5.0,IA
Xinzhe Zheng,1.0,0.1666666666666666,0.0,5.0,IA
Federico Califano,1.5,0.2,0.0,5.0,Machine Learning
J. Bessuille,0.5,0.0,0.0,5.0,IA
J. Ludwig,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Carl Beichert,0.5,0.0,0.0,5.0,IA
Sizheng Ma,0.5,0.0,0.0,5.0,Autre
S. Pürckhauer,0.5,0.0,0.0,5.0,Informatique (Autre)
P. Braat,1.0,0.0,3.217113686559968e-09,5.0,Machine Learning
António Ravara,0.5,0.0,0.0,5.0,Machine Learning
Gauthier Guinet,0.5,0.0,0.0,5.0,Physique (Autre)
Changsong Liu,0.5,0.0,0.0,5.0,Autre
Federica Agostini,0.5,0.0,0.0,5.0,Traitement du Langage
W. Bae,0.5,0.0,0.0,5.0,Machine Learning
Lucas M. Valenzuela,0.5,0.0,0.0,5.0,Physique (Autre)
A. C. Rovero,8.0,0.0080645161290322,1.0626102266542148e-05,5.0,Machine Learning
Ian Collier,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Holden Gill,4.0,0.0083333333333333,1.662727754592197e-06,5.0,Machine Learning
Zhongyue Zhang,0.5,0.0,0.0,5.0,Physique (Autre)
Pei Li,1.0,0.0,1.3889152796764392e-06,5.0,Réseaux de Neurones
Ellen Czaplinski,0.5,0.0,0.0,5.0,Machine Learning
Steven Metallo,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
M. Shirchenko,1.0,0.1666666666666666,0.0,5.0,Maths (Autre)
Bradyn Chiles,11.0,0.0317124735729386,3.060799826926086e-06,5.0,Machine Learning
Jan Krause,0.5,0.0,0.0,5.0,Physique (Autre)
Nicholas G. Reich,0.5,0.0,0.0,5.0,Ingénierie (Signal)
Y. Abdou,0.5,0.0,0.0,5.0,Machine Learning
Zhiyu He,0.5,0.0,0.0,5.0,Autre
Jens Dopke,4.0,0.0916666666666666,1.6471175285914796e-06,5.0,IA
Shangwen Zhu,0.5,0.0,0.0,5.0,Machine Learning
Timothée Pascal,0.5,0.0,0.0,5.0,Autre
Eberhard E. Fetz,0.5,0.0,0.0,5.0,Biologie (Neuro)
Jinseok Yoo,0.5,0.0,0.0,5.0,Physique (Autre)
Aditya Mahajan,1.5,0.2,0.0,5.0,Machine Learning
Douglas Fox,1.5,0.1333333333333333,1.347425904185684e-08,5.0,Informatique (Autre)
Guozhu Liu,1.0,0.0,0.0,5.0,Traitement du Langage
G. A García-Guerra,1.0,0.0,4.1130574501835335e-09,5.0,Machine Learning
Y. J. Lu,2.5,0.0222222222222222,3.698067303048447e-06,5.0,Physique (Autre)
Anish Gollakota,0.5,0.0,0.0,5.0,Physique (Autre)
C. Rouki,0.5,0.0,0.0,5.0,Machine Learning
D. Seppala,1.5,0.0666666666666666,5.108022005373414e-09,5.0,Vision par Ordinateur
Jonah Stockwell,0.5,0.0,0.0,5.0,Autre
D. Bessis,1.0,0.0,2.2159804657917448e-08,5.0,Machine Learning
Patrick Beukema,0.5,0.0,0.0,5.0,Maths (Autre)
Kiyoshi Kubo,3.5,0.0989010989010989,1.1837395277325411e-06,5.0,Informatique (Autre)
Yoana Tsoneva,0.5,0.0,0.0,5.0,Physique (Autre)
B. Daniel,4.0,0.0083333333333333,7.650881457266223e-07,5.0,Machine Learning
Erik Marchi,0.5,0.0,0.0,5.0,Informatique (Autre)
Aleksandr Abramov,1.5,0.2,0.0,5.0,Traitement du Langage
Rosa Coniglione,1.0,0.0,3.8732710372357815e-09,5.0,Physique (Autre)
Yunong Wang,0.5,0.0,0.0,5.0,Informatique (Autre)
S. Ramí rez-Uribe,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
M. Lotze,4.5,0.0130718954248366,2.70468348162467e-07,5.0,Machine Learning
Felix Thomsen,1.0,0.0,0.0,5.0,Maths (Autre)
C. Baus,3.0,0.0,3.188019718436408e-06,5.0,Physique (Autre)
T. P into,0.5,0.0,0.0,5.0,Stats & ML
S. Shukla,2.5,0.0222222222222222,2.3058041165313625e-07,5.0,Vision par Ordinateur
Aritra Basu,1.0,0.0,1.1389740262046644e-09,5.0,Machine Learning
E. Shevchik,0.5,0.0,0.0,5.0,Machine Learning
C. T. Day,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
C. Daurer,0.5,0.0,0.0,5.0,IA
Ian Harrison,10.0,0.0166666666666666,5.717324893339537e-05,5.0,Vision par Ordinateur
Filip Klubicka,0.5,0.0,0.0,5.0,Machine Learning
Zichun Wang,0.5,0.0,0.0,5.0,Machine Learning
M. D. Ciobotaru,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Soonwook Hwang,0.5,0.0,0.0,5.0,Physique (Autre)
Yuji Wang,0.5,0.0,0.0,5.0,Informatique (Autre)
Jean-Baptiste Le Bouquin,1.0,0.0,1.606139363730108e-07,5.0,IA
Sergey Demidov,1.0,0.0,1.2945265837061018e-07,5.0,Maths (Autre)
Volker Schünemann,0.5,0.0,0.0,5.0,IA
Axel Larsson,0.5,0.0,0.0,5.0,Stats & ML
Guy Davies,7.0,0.0185185185185185,4.843228452955373e-06,5.0,Vision par Ordinateur
Xilin Zhao,1.0,0.0,1.908304447795217e-08,5.0,Traitement du Langage
Nicholas Alonzi,11.0,0.0317124735729386,3.0607995995524107e-06,5.0,Machine Learning
Manuel Wuthrich,2.0,0.1785714285714285,0.0,5.0,Machine Learning
Frederic Heitzmann,0.5,0.0,0.0,5.0,Physique (Autre)
Yehya Abouelnaga,0.5,0.0,0.0,5.0,Machine Learning
Ping-yeh Chiang,2.0,0.2142857142857142,0.0,5.0,Machine Learning
Federico Radiconi,0.5,0.0,0.0,5.0,Informatique (Autre)
Omar Mahmood,0.5,0.0,0.0,5.0,Stats & ML
Chelsea Huang,0.5,0.0,0.0,5.0,IA
Guilherme Lima,0.5,0.0,0.0,5.0,Traitement du Langage
Suppanut Sangphet,0.5,0.0,0.0,5.0,Physique (Autre)
J. F. Bueno,0.5,0.0,0.0,5.0,Machine Learning
Eberhard Widmann,0.5,0.0,0.0,5.0,Machine Learning
Ali Etemad,0.5,0.0,0.0,5.0,Vision par Ordinateur
David Perello,1.0,0.0,1.1920563203204892e-08,5.0,Machine Learning
Catherine Caneau,0.5,0.0,0.0,5.0,Machine Learning
Kinam Kwon,0.5,0.0,0.0,5.0,Maths (Proba)
L. Welker,2.0,0.0,1.569844556570388e-07,5.0,Vision par Ordinateur
Gustavo Hernández Ábrego,0.5,0.0,0.0,5.0,Autre
Wenting Duan,0.5,0.0,0.0,5.0,Autre
Zhao Bin,0.5,0.0,0.0,5.0,Physique (Autre)
N. C. Hastings,5.5,0.0519480519480519,1.985227754630614e-06,5.0,Informatique (Autre)
Stanislav Makarchuk,0.5,0.0,0.0,5.0,Informatique (Autre)
A. Săina,0.5,0.0,0.0,5.0,Physique (Autre)
Huayuan Ye,0.5,0.0,0.0,5.0,Traitement du Langage
Fredi Quispe Huaynasi,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
Claus Goessl,0.5,0.0,0.0,5.0,Machine Learning
Laura Spitler,0.5,0.0,0.0,5.0,Traitement du Langage
Magnus Sesodia,1.0,0.1666666666666666,0.0,5.0,IA
Benjamin LHuillier,0.5,0.0,0.0,5.0,Physique (Autre)
Chengyu Shao,0.5,0.0,0.0,5.0,Physique (Autre)
David G. Kamper,1.5,0.2,0.0,5.0,IA
W. Ikegami Andersson,0.5,0.0,0.0,5.0,Informatique (Autre)
Susanne Westhoff,3.5,0.0989010989010989,1.1837395277325411e-06,5.0,Informatique (Autre)
Geonhyup Lee,0.5,0.0,0.0,5.0,Économie
Josep Domingo-Ferrer,1.0,0.1666666666666666,0.0,5.0,Informatique (Autre)
Jiaru Zhong,2.0,0.1428571428571428,0.0,5.0,Statistiques (Autre)
Donghoon Seo,0.5,0.0,0.0,5.0,Économie
Valentin Fedosseev,0.5,0.0,0.0,5.0,Stats & ML
A. Donat,1.0,0.0,6.174746403075916e-08,5.0,IA
Zhufang Cui,0.5,0.0,0.0,5.0,Maths (Autre)
Andrew Jaegle,1.5,0.2,0.0,5.0,Machine Learning
Jack M. Nelson,0.5,0.0,0.0,5.0,Réseaux de Neurones
R. Srianand,0.5,0.0,0.0,5.0,Machine Learning
J. Celic,2.5,0.0,6.433483008549956e-07,5.0,Vision par Ordinateur
Alessandro Casella,4.0,0.025,7.370946605078643e-06,5.0,Vision par Ordinateur
Rahil Makadia,0.5,0.0,0.0,5.0,Physique (Autre)
B. Pastircak,0.5,0.0,0.0,5.0,Vision par Ordinateur
Angel R. Gomez,11.0,0.0317124735729386,3.060799826926086e-06,5.0,Machine Learning
Savar Toteja,0.5,0.0,0.0,5.0,Autre
Fabio Longhitano,1.0,0.0,3.8732710372357815e-09,5.0,Physique (Autre)
Shuhao Han,2.5,0.0666666666666666,3.462232314177527e-07,5.0,Maths (Autre)
Steve Boyd,1.0,0.0,0.0,5.0,Traitement du Langage
Martin Lucas,1.5,0.2,0.0,5.0,Machine Learning
Ramotholo Sefako,5.5,0.0303030303030303,2.728353138081729e-06,5.0,Machine Learning
D. Dimitrov,0.5,0.0,0.0,5.0,IA
Minjie Xu,3.0,0.0757575757575757,3.461243522906443e-07,5.0,Traitement du Langage
N. Zotov,1.0,0.0,2.2159804657917448e-08,5.0,Machine Learning
Hyojin Bahng,0.5,0.0,0.0,5.0,Machine Learning
Brian Christian,1.0,0.1666666666666666,0.0,5.0,Informatique (Autre)
María Teresa Nunez Pardo de Vera,3.5,0.0989010989010989,1.1837395277325411e-06,5.0,Informatique (Autre)
Mohammadreza Nakhaei,0.5,0.0,0.0,5.0,Maths (Autre)
S. J. Jenkins,2.0,0.0357142857142857,2.688877600576234e-07,5.0,Vision par Ordinateur
Hans van Gorp,0.5,0.0,0.0,5.0,Machine Learning
Anwen Hu,1.0,0.1666666666666666,0.0,5.0,Maths (Autre)
Geon-Hyeong Kim,0.5,0.0,0.0,5.0,Machine Learning
T. Hampson,2.0,0.0,8.924592407311138e-07,5.0,Traitement du Langage
R. Gibbons,3.0,0.0606060606060606,2.689007487788331e-07,5.0,Machine Learning
Amna Rahman,0.5,0.0,0.0,5.0,Physique (Autre)
Huanqian Loh,0.5,0.0,0.0,5.0,Maths (Autre)
Romy Rodríguez,0.5,0.0,0.0,5.0,Maths (Autre)
Ian D Reid,0.5,0.0,0.0,5.0,Vision par Ordinateur
P. F. Gomez Vitale,3.5,0.0109890109890109,2.446559506097401e-07,5.0,Machine Learning
FNU Kartik,0.5,0.0,0.0,5.0,Vision par Ordinateur
K. Gurcel,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Jingzhe Ma,0.5,0.0,0.0,5.0,Physique (Autre)
M. Karppinen,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Theo X. Olausson,0.5,0.0,0.0,5.0,Machine Learning
F. Blaszczyk,0.5,0.0,0.0,5.0,Physique (Autre)
Nicholas J. Vaver,11.0,0.0317124735729386,3.0607995995524107e-06,5.0,Machine Learning
Guanglei Yue,0.5,0.0,0.0,5.0,Maths (Autre)
N. W. Ruof,1.0,0.0,1.0079364010096016e-08,5.0,Maths (Autre)
A. R. Timmins,1.0,0.0,0.0,5.0,Physique (Autre)
Jian Cheng,1.5,0.0,3.1407264344807124e-08,5.0,Autre
Hale Sert,3.5,0.0989010989010989,1.1837395277325411e-06,5.0,Informatique (Autre)
Baofeng Yang,0.5,0.0,0.0,5.0,Machine Learning
Ansh Desai,1.5,0.0,5.590079013018112e-07,5.0,Traitement du Langage
Agustin Sabio Vera,1.0,0.0,1.2945265837061018e-07,5.0,Maths (Autre)
Leo Greiner,0.5,0.0,0.0,5.0,Machine Learning
Jennifer Riding,0.5,0.0,0.0,5.0,IA
A. G. Ferrari,0.5,0.0,0.0,5.0,Machine Learning
Marie Anne Bizouard,0.5,0.0,0.0,5.0,Informatique (Autre)
William G. Hart,1.0,0.0,0.0,5.0,Physique (Autre)
G. S. Mauro,1.0,0.0,3.708816009861948e-08,5.0,Maths (Autre)
Yunchu Zhang,6.0,0.1413043478260869,5.016290174353344e-07,5.0,Maths (Autre)
Miguel Sofo-Haro,0.5,0.0,0.0,5.0,Physique (Autre)
Evangelos Georganas,1.5,0.2,0.0,5.0,Informatique (Autre)
Cristina Lazzeroni,1.0,0.0,4.1862504573941806e-09,5.0,Informatique (Autre)
Saurabh Agarwal,0.5,0.0,0.0,5.0,Machine Learning
Caterina Lani,0.5,0.0,0.0,5.0,Informatique (Autre)
Anelise Audibert,1.0,0.0,4.91912146571849e-08,5.0,Informatique (Autre)
José Carlos Ortiz-Bayliss,0.5,0.0,0.0,5.0,Maths (Autre)
Florian Dirnberger,2.5,0.0666666666666666,1.2215951983307605e-07,5.0,Maths (Autre)
Najib Adan,0.5,0.0,0.0,5.0,Machine Learning
Alan Lawrence,2.0,0.0357142857142857,2.0367178876767866e-07,5.0,Machine Learning
Caroline Soubiran,2.0,0.0357142857142857,7.239544430603928e-08,5.0,Informatique (Autre)
C. Blanco,3.0,0.0454545454545454,1.082893419379616e-07,5.0,Machine Learning
Kam S. Arnold,1.5,0.0,6.221478798806859e-08,5.0,Informatique (Autre)
Andrew Saxe,0.5,0.0,0.0,5.0,Machine Learning
Tristan Miller,0.5,0.0,0.0,5.0,Traitement du Langage
Yongjun Xiao,0.5,0.0,0.0,5.0,Physique (Autre)
Jakub W. Pachocki,0.5,0.0,0.0,5.0,Informatique (Autre)
Nikhil Garuda,0.5,0.0,0.0,5.0,IA
Jonathan P. King,0.5,0.0,0.0,5.0,IA
Joshua Ni,0.5,0.0,0.0,5.0,Informatique (Autre)
Holly Szumila,0.5,0.0,0.0,5.0,Autre
I. Batković,3.0,0.0454545454545454,2.062789235424134e-06,5.0,Physique (Autre)
James G. Bartlett,4.0,0.0,8.00211273599416e-06,5.0,Informatique (Autre)
J. Maller,1.0,0.0,8.379485194609516e-08,5.0,Physique (Autre)
Frederik Warburg,0.5,0.0,0.0,5.0,Maths (Autre)
A. Mehta,3.5,0.0109890109890109,5.872539531992516e-06,5.0,Machine Learning
Rundong Wang,0.5,0.0,0.0,5.0,Informatique (Autre)
Eda Cesaratto,0.5,0.0,0.0,5.0,Robotique
T. Damour,2.0,0.0,8.309853427590498e-08,5.0,Informatique (Autre)
Y. -H. Yang,0.5,0.0,0.0,5.0,Statistiques (Autre)
Ueejeong Jeong,0.5,0.0,0.0,5.0,Machine Learning
J. Wan,1.0,0.1666666666666666,0.0,5.0,Physique (Autre)
Zachary Blanco,0.5,0.0,0.0,5.0,IA
Pi A. B. Haase,0.5,0.0,0.0,5.0,Vision par Ordinateur
V. Dhillon,0.5,0.0,0.0,5.0,IA
Marco Iannotta,0.5,0.0,0.0,5.0,Vision par Ordinateur
O. Aquines Gutierrez,3.5,0.0,2.6605516723066103e-06,5.0,Informatique (Autre)
T. Gala,0.5,0.0,0.0,5.0,Physique (Autre)
Kyle J. Griffin,11.0,0.0317124735729386,3.060800054299761e-06,5.0,Machine Learning
K. Whitaker,1.5,0.0,1.0010508049163036e-06,5.0,Vision par Ordinateur
C. Alexa,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
M. Chiorboli,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Lin Tian,0.5,0.0,0.0,5.0,Machine Learning
John Lewis,0.5,0.0,0.0,5.0,IA
Maren Scheffel,0.5,0.0,0.0,5.0,Vision par Ordinateur
Xiaogang Jia,0.5,0.0,0.0,5.0,Robotique
Eric Feron,0.5,0.0,0.0,5.0,Autre
Elmo Tempel,1.0,0.0,0.0,5.0,Vision par Ordinateur
Juan David Vargas,0.5,0.0,0.0,5.0,Traitement du Langage
Ke Cao,0.5,0.0,0.0,5.0,Maths (Autre)
Ohsung Kwon,2.0,0.0,2.6240511985520243e-09,5.0,Autre
Terra Blevins,2.5,0.0444444444444444,1.446057211751395e-07,5.0,Informatique (Autre)
Antonia Creswell,1.0,0.0,0.0,5.0,Informatique (Autre)
Karl Pertsch,7.0,0.1111111111111111,1.702151621429948e-06,5.0,Maths (Autre)
M. Fani,1.5,0.0,5.3542994038480174e-08,5.0,Machine Learning
M. Ikeda,3.0,0.0454545454545454,9.92695959212142e-07,5.0,Physique (Autre)
Nyath Maxwell,0.5,0.0,0.0,5.0,Robotique
Oliver Dukes,1.0,0.1666666666666666,0.0,5.0,IA
Ming Gao,0.5,0.0,0.0,5.0,Informatique (Autre)
Yichi Zhou,2.0,0.2142857142857142,0.0,5.0,Vision par Ordinateur
Robert MacCurdy,0.5,0.0,0.0,5.0,IA
C. C. Cowden,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Andrew Begel,0.5,0.0,0.0,5.0,Machine Learning
Henry C. Ferguson,12.0,0.0434397163120567,3.643144282250432e-06,5.0,Informatique (Autre)
Wenlong Deng,1.0,0.0,0.0,5.0,Machine Learning
A. A. P. Suaide,1.0,0.0,0.0,5.0,Physique (Autre)
J. Caravaca,1.5,0.0666666666666666,2.6177387368875322e-08,5.0,Vision par Ordinateur
Jerry Jurado,0.5,0.0,0.0,5.0,Machine Learning
Oscar Hernan Madrid Padilla,0.5,0.0,0.0,5.0,Machine Learning
Eungsup Cho,2.0,0.0,2.6240511985520243e-09,5.0,Autre
N. Kato,3.0,0.0454545454545454,5.9595091528308344e-08,5.0,Machine Learning
Wilson Lee,0.5,0.0,0.0,5.0,Informatique (Autre)
Zichen Zhu,0.5,0.0,0.0,5.0,IA
S. Higgins,0.5,0.0,0.0,5.0,Machine Learning
Marvin Mathony,0.5,0.0,0.0,5.0,Informatique (Autre)
David Kubiznak,0.5,0.0,0.0,5.0,Autre
Victor Ruiz,1.5,0.0,1.3266937770595176e-08,5.0,Maths (Autre)
Reihaneh Iranmanesh,1.0,0.1666666666666666,0.0,5.0,Informatique (Autre)
Björn Lange,1.5,0.0,1.3266937770595176e-08,5.0,Maths (Autre)
Nicolas F. Bouche,1.5,0.0,1.1077215731347678e-06,5.0,Informatique (Autre)
Zhenxia Zhang,0.5,0.0,0.0,5.0,Machine Learning
Jason Rothenberg,0.5,0.0,0.0,5.0,Maths (Autre)
Ali Shahin Shamsabadi,0.5,0.0,0.0,5.0,Informatique (Autre)
M. Mallonn,0.5,0.0,0.0,5.0,Traitement du Langage
Gaofeng Rao,0.5,0.0,0.0,5.0,Traitement du Langage
Abhika Mishra,0.5,0.0,0.0,5.0,Traitement du Langage
Tomohiro Oda,0.5,0.0,0.0,5.0,Physique (Autre)
Shenxi Liu,0.5,0.0,0.0,5.0,Vision par Ordinateur
Ashish Phophalia,2.0,0.0,0.0,5.0,IA
Remo Steiner,2.0,0.0714285714285714,2.106369265675312e-07,5.0,Physique (Autre)
Alba Domi,4.0,0.0583333333333333,7.406914846797008e-06,5.0,Physique (Autre)
M. C. Labonte,0.5,0.0,0.0,5.0,Physique (Autre)
Mingjun Xu,2.0,0.1071428571428571,8.441186594154716e-08,5.0,Autre
G. Malaspina,1.0,0.0,6.174746403075916e-08,5.0,IA
Barry Wang,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Divya Thomas,1.0,0.1666666666666666,0.0,5.0,Physique (Autre)
Timothy A. C. Lamont,0.5,0.0,0.0,5.0,Machine Learning
Artem Baryshnikov,0.5,0.0,0.0,5.0,Physique (Autre)
G. G. Da Silveira,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
William I. Jay,0.5,0.0,0.0,5.0,Maths (Autre)
Andrea P. Nagy,0.5,0.0,0.0,5.0,Stats & ML
